Name,Occupation,Field,Group,Portrait URL
Kate Crawford,Academic,Media Studies,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Kate_Crawford_%40_SXSW_2019_%2846438155835%29.jpg/320px-Kate_Crawford_%40_SXSW_2019_%2846438155835%29.jpg
Cathy O'Neil,Activist/Researcher,Mathematics,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Cathy_O%27Neil_at_Google_Cambridge.jpg/175px-Cathy_O%27Neil_at_Google_Cambridge.jpg
Ruha Benjamin,Academic,Sociology,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Dr_Ruha_Benjamin_Race_After_Technology.jpg/303px-Dr_Ruha_Benjamin_Race_After_Technology.jpg
Timnit Gebru,Activist/Researcher,Computer Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/TechCrunch_Disrupt_San_Francisco_2018_-_day_3_%2830671211838%29.jpg/320px-TechCrunch_Disrupt_San_Francisco_2018_-_day_3_%2830671211838%29.jpg
Shoshanna Zuboff,Academic,Social Psychology,Critic,https://www.hbs.edu/Style%20Library/api/headshot.aspx?id=6582
Jaron Lanier,Academic,Computer Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Jaron_Lanier_-_153311876.jpg/320px-Jaron_Lanier_-_153311876.jpg
Safiya Umoja Noble,Academic,Library and Information Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Re_publica_18_-_Day_1_%2841809675342%29_%28cropped%29.jpg/186px-Re_publica_18_-_Day_1_%2841809675342%29_%28cropped%29.jpg
Virginia Eubanks,Academic,Political Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Gesprek_tweede_kamer_met_Virginia_Eubanks_%2833140421058%29.jpg/320px-Gesprek_tweede_kamer_met_Virginia_Eubanks_%2833140421058%29.jpg
Meredith Broussard,Academic,Journalism,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Meredith_Broussard.jpg/320px-Meredith_Broussard.jpg
Deborah Raji,Activist/Researcher,Computer Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Deb_Raji.jpg/360px-Deb_Raji.jpg
Joy Buolamwini,Activist/Researcher,Computer Science,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Joy_Buolamwini%2C_2018_%28cropped%29.jpg/339px-Joy_Buolamwini%2C_2018_%28cropped%29.jpg
Zeynep Tufekci,Academic,Sociology,Critic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Zeynep_Tufekci_crop.jpeg/384px-Zeynep_Tufekci_crop.jpeg
Andrew Ng,Business,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Andrew_Ng_at_TechCrunch_Disrupt_SF_2017.jpg/391px-Andrew_Ng_at_TechCrunch_Disrupt_SF_2017.jpg
Geoffrey Hinton,Computer Scientist,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Geoffrey_Hinton_-_Collision_2023_-_Centre_Stage_RCZ_1307_%28cropped%29.jpg/360px-Geoffrey_Hinton_-_Collision_2023_-_Centre_Stage_RCZ_1307_%28cropped%29.jpg
Elon Musk,Business,Engineering,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Elon_Musk_Royal_Society_%28crop2%29.jpg/362px-Elon_Musk_Royal_Society_%28crop2%29.jpg
Fei-Fei Li,Academic,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Fei-Fei_Li_at_AI_for_Good_2017.jpg/323px-Fei-Fei_Li_at_AI_for_Good_2017.jpg
Yann LeCun,Computer Scientist,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Yann_LeCun_-_2018_%28cropped%29.jpg/209px-Yann_LeCun_-_2018_%28cropped%29.jpg
Sundar Pichai,Business,Engineering,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/8/89/Sundar_Pichai_%28cropped1%29.jpg
Kai-Fu Lee,Business,Computer Science,Enthusiast,https://commons.wikimedia.org/wiki/Category:Kai-Fu_Lee#/media/File:Capture_medium.jpg
Demis Hassabis,Business,Neuroscience,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Demis_Hassabis_Royal_Society.jpg/400px-Demis_Hassabis_Royal_Society.jpg
Satya Nadella,Business,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/MS-Exec-Nadella-Satya-2017-08-31-22_%28cropped%29.jpg/375px-MS-Exec-Nadella-Satya-2017-08-31-22_%28cropped%29.jpg
Marc Andreesen,Investor,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Marc_Andreessen-9.jpg/320px-Marc_Andreessen-9.jpg
Ben Horowitz,Investor,Computer Science,Enthusiast,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/TechCrunch_Disrupt_San_Francisco_2018_-_day_2_%2842713740520%29.jpg/320px-TechCrunch_Disrupt_San_Francisco_2018_-_day_2_%2842713740520%29.jpg
